bank_id,blood_group,component,units,is_demo_data,generated_at
1,A+,Whole Blood,18,true,2024-01-15T10:00:00Z
1,A-,Whole Blood,38,true,2024-01-15T10:00:00Z
1,B+,Whole Blood,25,true,2024-01-15T10:00:00Z
1,B-,Whole Blood,37,true,2024-01-15T10:00:00Z
1,AB+,Whole Blood,39,true,2024-01-15T10:00:00Z
1,AB-,Whole Blood,41,true,2024-01-15T10:00:00Z
1,O+,Whole Blood,40,true,2024-01-15T10:00:00Z
1,O-,Whole Blood,16,true,2024-01-15T10:00:00Z
2,A+,Whole Blood,32,true,2024-01-15T10:00:00Z
2,A-,Whole Blood,46,true,2024-01-15T10:00:00Z
2,B+,Whole Blood,22,true,2024-01-15T10:00:00Z
2,B-,Whole Blood,12,true,2024-01-15T10:00:00Z
2,AB+,Whole Blood,31,true,2024-01-15T10:00:00Z
2,AB-,Whole Blood,20,true,2024-01-15T10:00:00Z
2,O+,Whole Blood,37,true,2024-01-15T10:00:00Z
2,O-,Whole Blood,20,true,2024-01-15T10:00:00Z
3,A+,Whole Blood,44,true,2024-01-15T10:00:00Z
3,A-,Whole Blood,40,true,2024-01-15T10:00:00Z
3,B+,Whole Blood,4,true,2024-01-15T10:00:00Z
3,B-,Whole Blood,35,true,2024-01-15T10:00:00Z
3,AB+,Whole Blood,28,true,2024-01-15T10:00:00Z
3,AB-,Whole Blood,25,true,2024-01-15T10:00:00Z
3,O+,Whole Blood,34,true,2024-01-15T10:00:00Z
3,O-,Whole Blood,50,true,2024-01-15T10:00:00Z
4,A+,Whole Blood,42,true,2024-01-15T10:00:00Z
4,A-,Whole Blood,31,true,2024-01-15T10:00:00Z
4,B+,Whole Blood,8,true,2024-01-15T10:00:00Z
4,B-,Whole Blood,12,true,2024-01-15T10:00:00Z
4,AB+,Whole Blood,31,true,2024-01-15T10:00:00Z
4,AB-,Whole Blood,40,true,2024-01-15T10:00:00Z
4,O+,Whole Blood,25,true,2024-01-15T10:00:00Z
4,O-,Whole Blood,15,true,2024-01-15T10:00:00Z
5,A+,Whole Blood,40,true,2024-01-15T10:00:00Z
5,A-,Whole Blood,13,true,2024-01-15T10:00:00Z
5,B+,Whole Blood,37,true,2024-01-15T10:00:00Z
5,B-,Whole Blood,8,true,2024-01-15T10:00:00Z
5,AB+,Whole Blood,43,true,2024-01-15T10:00:00Z
5,AB-,Whole Blood,1,true,2024-01-15T10:00:00Z
5,O+,Whole Blood,4,true,2024-01-15T10:00:00Z
5,O-,Whole Blood,20,true,2024-01-15T10:00:00Z
6,A+,Whole Blood,40,true,2024-01-15T10:00:00Z
