bank_id,reported_at,blood_group,component,units,source,is_demo_data
21,2024-01-09T03:35:21Z,A-,Whole Blood,33,sms,true
25,2024-01-11T10:26:03Z,O+,Whole Blood,2,sms,true
27,2024-01-12T07:51:44Z,O+,Whole Blood,25,web,true
16,2024-01-08T23:31:48Z,B-,Whole Blood,21,web,true
23,2024-01-12T21:59:47Z,AB+,Whole Blood,16,sms,true
4,2024-01-08T18:25:18Z,AB+,Whole Blood,42,sms,true
1,2024-01-14T09:44:58Z,B-,Whole Blood,36,sms,true
20,2024-01-10T05:47:13Z,O-,Whole Blood,47,web,true
23,2024-01-12T13:22:00Z,B+,Whole Blood,23,web,true
15,2024-01-14T11:33:02Z,A-,Whole Blood,45,sms,true
24,2024-01-07T22:05:12Z,AB+,Whole Blood,10,sms,true
25,2024-01-13T09:26:44Z,AB+,Whole Blood,18,sms,true
26,2024-01-11T05:02:31Z,B+,Whole Blood,8,sms,true
18,2024-01-09T06:42:05Z,A-,Whole Blood,48,web,true
5,2024-01-08T08:50:39Z,AB+,Whole Blood,39,sms,true
3,2024-01-14T06:07:09Z,A+,Whole Blood,38,web,true
19,2024-01-10T12:42:46Z,A+,Whole Blood,33,web,true
28,2024-01-07T13:18:22Z,AB+,Whole Blood,4,sms,true
12,2024-01-13T21:27:24Z,A+,Whole Blood,42,sms,true
26,2024-01-08T16:45:09Z,O-,Whole Blood,1,sms,true
10,2024-01-09T18:26:37Z,AB+,Whole Blood,23,sms,true
21,2024-01-10T21:57:20Z,A+,Whole Blood,49,sms,true
22,2024-01-08T19:51:38Z,AB+,Whole Blood,8,sms,true
22,2024-01-13T18:55:58Z,A-,Whole Blood,13,sms,true
3,2024-01-14T00:59:39Z,O-,Whole Blood,28,sms,true
8,2024-01-12T05:39:26Z,AB+,Whole Blood,28,web,true
28,2024-01-09T07:37:57Z,O+,Whole Blood,2,web,true
27,2024-01-14T05:34:55Z,A-,Whole Blood,34,web,true
17,2024-01-10T08:28:40Z,A-,Whole Blood,47,web,true
10,2024-01-07T21:52:12Z,O-,Whole Blood,3,sms,true
2,2024-01-11T19:56:39Z,B-,Whole Blood,0,sms,true
27,2024-01-10T11:43:32Z,B-,Whole Blood,22,sms,true
21,2024-01-11T10:50:02Z,O-,Whole Blood,42,web,true
22,2024-01-09T19:49:42Z,AB+,Whole Blood,16,web,true
1,2024-01-07T21:12:50Z,B-,Whole Blood,22,web,true
21,2024-01-10T11:41:36Z,AB+,Whole Blood,29,web,true
16,2024-01-11T16:44:20Z,AB-,Whole Blood,29,web,true
4,2024-01-14T03:19:24Z,AB+,Whole Blood,49,sms,true
20,2024-01-13T07:42:18Z,AB-,Whole Blood,19,web,true
17,2024-01-08T15:00:03Z,A-,Whole Blood,25,web,true
17,2024-01-11T22:24:21Z,B+,Whole Blood,10,web,true
9,2024-01-11T22:37:32Z,A+,Whole Blood,39,sms,true
7,2024-01-12T05:52:58Z,AB+,Whole Blood,43,web,true
17,2024-01-10T12:54:08Z,AB+,Whole Blood,36,sms,true
13,2024-01-10T03:08:48Z,A+,Whole Blood,9,sms,true
22,2024-01-12T10:39:34Z,O+,Whole Blood,10,sms,true
7,2024-01-08T03:10:19Z,B-,Whole Blood,16,sms,true
24,2024-01-09T21:42:26Z,AB+,Whole Blood,41,web,true
22,2024-01-13T10:30:16Z,B-,Whole Blood,44,web,true
5,2024-01-10T08:59:28Z,A+,Whole Blood,37,sms,true
13,2024-01-13T16:26:46Z,O+,Whole Blood,2,web,true
24,2024-01-13T23:28:21Z,O+,Whole Blood,13,web,true
14,2024-01-10T22:49:10Z,O+,Whole Blood,45,web,true
17,2024-01-12T08:03:42Z,O+,Whole Blood,35,web,true
20,2024-01-12T01:08:24Z,A-,Whole Blood,31,sms,true
24,2024-01-10T07:45:41Z,B-,Whole Blood,20,web,true
3,2024-01-11T08:12:11Z,O+,Whole Blood,2,web,true
28,2024-01-13T03:25:20Z,A+,Whole Blood,18,sms,true
24,2024-01-08T09:31:15Z,A-,Whole Blood,23,web,true
3,2024-01-13T05:56:51Z,O+,Whole Blood,6,sms,true
16,2024-01-14T14:05:24Z,A+,Whole Blood,19,sms,true
15,2024-01-08T00:41:28Z,AB-,Whole Blood,36,web,true
7,2024-01-11T18:35:03Z,A-,Whole Blood,11,sms,true
1,2024-01-11T06:54:30Z,B+,Whole Blood,43,sms,true
25,2024-01-08T23:31:17Z,A-,Whole Blood,49,web,true
10,2024-01-10T17:23:49Z,O-,Whole Blood,32,web,true
20,2024-01-09T04:18:34Z,AB+,Whole Blood,49,web,true
22,2024-01-07T21:31:36Z,B+,Whole Blood,38,web,true
5,2024-01-08T01:24:59Z,O-,Whole Blood,42,sms,true
28,2024-01-11T23:51:59Z,O-,Whole Blood,3,web,true
3,2024-01-09T02:07:40Z,O+,Whole Blood,16,web,true
23,2024-01-11T02:19:43Z,B+,Whole Blood,41,web,true
1,2024-01-08T02:37:33Z,O+,Whole Blood,7,sms,true
23,2024-01-09T13:33:12Z,A-,Whole Blood,23,web,true
19,2024-01-09T17:26:51Z,A+,Whole Blood,44,sms,true
26,2024-01-13T22:32:38Z,O+,Whole Blood,23,sms,true
18,2024-01-13T08:18:08Z,B+,Whole Blood,22,sms,true
25,2024-01-14T04:33:36Z,AB-,Whole Blood,34,sms,true
21,2024-01-10T22:57:01Z,AB-,Whole Blood,36,web,true
6,2024-01-14T16:06:04Z,AB-,Whole Blood,17,web,true
23,2024-01-14T17:06:57Z,AB+,Whole Blood,50,web,true
4,2024-01-08T12:03:21Z,B-,Whole Blood,11,sms,true
8,2024-01-11T15:48:31Z,AB+,Whole Blood,5,web,true
17,2024-01-14T17:52:39Z,AB-,Whole Blood,21,web,true
2,2024-01-08T10:21:22Z,AB-,Whole Blood,32,sms,true
6,2024-01-09T08:19:46Z,O-,Whole Blood,12,web,true
26,2024-01-11T16:07:47Z,O-,Whole Blood,35,web,true
16,2024-01-11T12:20:45Z,A+,Whole Blood,10,web,true
13,2024-01-12T17:42:53Z,O+,Whole Blood,12,sms,true
7,2024-01-13T06:44:36Z,AB+,Whole Blood,38,sms,true
18,2024-01-14T02:09:43Z,A-,Whole Blood,21,web,true
8,2024-01-11T23:04:37Z,O+,Whole Blood,20,web,true
24,2024-01-09T00:44:45Z,O+,Whole Blood,19,sms,true
27,2024-01-11T01:42:38Z,AB+,Whole Blood,40,web,true
24,2024-01-09T19:05:57Z,A+,Whole Blood,16,web,true
