update_reference_id,blood_bank_name,district,state,blood_group,component,units,source,data_origin,is_demo_data,reported_at
UPD-000213,KMC Speciality Hospitals Blood Bank ( Kaveri Hospitals),TIRUCHIRAPPALLI,Tamil Nadu,AB-,Whole Blood,38,pwa,synthetic_demo,true,2026-08-27 01:41:58
UPD-000134,"Dr B R Ambedkar Memorial Hospital, Model Blood Bank",RAIPUR,Chhattisgarh,A-,Plasma,22,pwa,synthetic_demo,true,2026-08-27 06:36:33
UPD-000260,K. V. G Medical College Hospital Blood Bank,DAKSHINA KANNADA,Karnataka,A+,Packed Red Cells,20,pwa,synthetic_demo,true,2026-08-26 15:33:47
UPD-000058,bilasa blood bank rajnandgaon,RAJNANDGAON,Chhattisgarh,O+,Plasma,12,pwa,synthetic_demo,true,2026-08-26 15:31:49
UPD-000048,Dhanwantri Blood Bank,JALGAON,Maharashtra,B+,Packed Red Cells,30,pwa,synthetic_demo,true,2026-08-26 23:41:16
UPD-000110,Revathy Medical Centre Blood Bank,TIRUPPUR,Tamil Nadu,A+,Packed Red Cells,19,pwa,synthetic_demo,true,2026-08-26 16:58:16
UPD-000183,Rotary Mysore Chandrakala Hospital Blood Bank,Mysore,Karnataka,AB+,Packed Red Cells,18,pwa,synthetic_demo,true,2026-08-27 00:34:11
UPD-000182,Neyveli Lignite Corporation,CUDDALORE,Tamil Nadu,B+,Packed Red Cells,31,pwa,synthetic_demo,true,2026-08-26 21:59:52
UPD-000252,West Siang District Hospital Blood Bank,WEST SIANG,Arunachal Pradesh,O-,Plasma,40,pwa,synthetic_demo,true,2026-08-27 05:39:33
UPD-000123,Silchar Medical College and Hospital Blood Bank,CACHAR,Assam,A+,Plasma,45,sms,synthetic_demo,true,2026-08-27 06:32:23
UPD-000157,Mahatma Gandhi Seva Mandir Blood Bank,MUMBAI,Maharashtra,B-,Packed Red Cells,40,pwa,synthetic_demo,true,2026-08-27 04:02:15
UPD-000179,Sudiksha Prabhu Hospital Blood Bank and Research Centre,Thoothukudi (TUTICORIN),Tamil Nadu,O+,Whole Blood,9,pwa,synthetic_demo,true,2026-08-26 23:37:23
UPD-000277,Medical College Hospital Blood Bank,THRISSUR,Kerala,A-,Packed Red Cells,32,pwa,synthetic_demo,true,2026-08-21 19:15:50
UPD-000235,Ashok Blood Bank and Clinical Laboratory,DHARMAPURI,Tamil Nadu,AB-,Packed Red Cells,40,pwa,synthetic_demo,true,2026-08-26 20:13:05
UPD-000223,Gurjar Hospital and Endoscopy Centre Private Limited Blood Bank,INDORE,Madhya Pradesh,AB-,Platelets,26,pwa,synthetic_demo,true,2026-08-27 00:59:45
UPD-000098,Kasturba Hospital Blood Bank,DINDIGUL,Tamil Nadu,O-,Platelets,39,sms,synthetic_demo,true,2026-08-26 20:05:11
UPD-000193,District Hospital Blood Bank,UNNAO,Uttar Pradesh,AB-,Whole Blood,18,pwa,synthetic_demo,true,2026-08-27 06:00:41
UPD-000079,JNIMS Hospital Blood Bank and Transfusion Unit,IMPHAL EAST,Manipur,A-,Whole Blood,7,pwa,synthetic_demo,true,2026-08-26 21:39:12
UPD-000050,Geetanjali Medical College and Hospital Blood Bank,UDAIPUR,Rajasthan,A+,Whole Blood,12,pwa,synthetic_demo,true,2026-08-27 08:00:02
UPD-000056,bilasa blood bank rajnandgaon,RAJNANDGAON,Chhattisgarh,B-,Plasma,14,pwa,synthetic_demo,true,2026-08-26 14:54:59
UPD-000192,Continental Hospital Blood Bank,RANGAREDDY,Telangana,AB+,Whole Blood,4,pwa,synthetic_demo,true,2026-08-27 09:16:56
UPD-000124,Government Medical College and Hospital Blood Bank,JALAUN,Uttar Pradesh,AB-,Platelets,21,pwa,synthetic_demo,true,2026-08-26 17:20:10
UPD-000230,M/s Sunflag Hospital and Research Centre Blood Bank,FARIDABAD,Haryana,O+,Plasma,2,sms,synthetic_demo,true,2026-08-27 07:53:26
UPD-000240,Mohit Blood Bank Services,INDORE,Madhya Pradesh,B+,Plasma,15,pwa,synthetic_demo,true,2026-08-26 19:13:20
UPD-000251,West Siang District Hospital Blood Bank,WEST SIANG,Arunachal Pradesh,AB+,Platelets,42,pwa,synthetic_demo,true,2026-08-27 08:45:09
UPD-000075,Siventhi Blood Bank (Siventhi Medical Trust),Kanyakumari,Tamil Nadu,B+,Whole Blood,21,pwa,synthetic_demo,true,2026-08-27 04:42:43
UPD-000178,Sudiksha Prabhu Hospital Blood Bank and Research Centre,Thoothukudi (TUTICORIN),Tamil Nadu,AB+,Whole Blood,10,pwa,synthetic_demo,true,2026-08-27 07:00:37
UPD-000185,Velammal Medical College Hospital and Reserach Institute Blood Bank,MADURAI,Tamil Nadu,O-,Packed Red Cells,26,pwa,synthetic_demo,true,2026-08-26 15:09:12
UPD-000004,Jeevan Dhara Blood Bank,FIROZABAD,Uttar Pradesh,O+,Platelets,2,pwa,synthetic_demo,true,2026-08-27 11:01:18
UPD-000051,B.R. Singh Hospital Blood Bank,KOLKATA,West Bengal,O+,Platelets,15,pwa,synthetic_demo,true,2026-08-26 21:33:18
UPD-000060,Indian Red Cross Society - Sarjubai Bansila Bajaj Blood Bank,SOLAPUR,Maharashtra,B+,Packed Red Cells,40,pwa,synthetic_demo,true,2026-08-26 20:04:57
UPD-000238,Al-Ameen Medical College Hospital Blood Bank,Bijapur,Karnataka,O+,Packed Red Cells,36,pwa,synthetic_demo,true,2026-08-26 14:43:11
UPD-000088,Sadar Hospital Muzaffarpur Blood Bank,MUZAFFARPUR,Bihar,B-,Whole Blood,0,sms,synthetic_demo,true,2026-08-26 18:07:08
UPD-000144,Indian Red Cross Society Blood bank RCH -II KADIRI,ANANTAPUR,Andhra Pradesh,A+,Plasma,0,pwa,synthetic_demo,true,2026-08-27 06:54:11
UPD-000076,"Odisha Red Cross Blood Bank, SDH, Titlagarh",BALANGIR,Odisha,O-,Whole Blood,14,pwa,synthetic_demo,true,2026-08-27 05:21:28
UPD-000137,Share Medical Care (Mediciti Hospital) Blood Bank,HYDERABAD,Telangana,AB-,Packed Red Cells,25,pwa,synthetic_demo,true,2026-08-26 14:55:45
UPD-000283,Vaidhya Blood Bank,THANE,Maharashtra,AB-,Packed Red Cells,43,pwa,synthetic_demo,true,2026-08-20 13:20:35
UPD-000125,Government Medical College and Hospital Blood Bank,JALAUN,Uttar Pradesh,B-,Plasma,31,pwa,synthetic_demo,true,2026-08-27 00:31:08
