Sr No,Blood Bank Name,State,District,City,Address,Pincode,Contact No,Mobile,Helpline,Fax,Email,Website,Nodal Officer,Contact Nodal Officer,Mobile Nodal Officer,Email Nodal Officer,Qualification Nodal Officer,Category,Blood Component Available,Apheresis,Service Time,License #,Date License Obtained,Date of Renewal,Latitude,Longitude
2822,Sub Divisional Hospital Blood Bank Islampur,West Bengal,Uttar Dinajpur,Islampur,P.O. Islampur,733202,N/A,9830385878,N/A,N/A,Islampurbloodbank@gmail.com,,Dr. Q. Imam,9434960848,9830385878,,MBBS,Government,NO,,24x7,DL-104-MB/SLA/CLAA/WB,22-04-2003,2013-2017 (R),26.257667,88.185293
1800,Dr. B.L. Kapoor Memorial Hospital Blood Bank,Punjab,LUDHIANA,Ludhiana,"Sabzi Mandi Road, G.T.Road, Old Sabzi Mandi, Dal Bazar",141008,"0161 2743043, 0161-2743053","09814098338, 09888822244",No,No,komalb075@gmail.com,http://www.blkapurhospital.com/,Dr Amrinder Sekhon,,9814098338,agsekhon@hotmail.com,,Private,NO,NO,24x7,1738-B,11/3/2002,Under Process,30.920492,75.849864
1402,Mahatma Gandhi Seva Mandir Blood Bank,Maharashtra,MUMBAI,Mumbai,"Mahatma Gandhi Seva Mandir Hospital, 2nd Floor, Opposite to Bandra Lake, S. V. Road, Bandra (W), Mumbai",,"022 26431893, 022 26431897",,,,,,Dr. Kishor Jha,"022 26431893, 022 26431897, 022 26431899",9820554307,kishorejha8@rediffmail.com,"MD (Pathology), DPS",Charity,YES,YES,24x7,MH004614,01-11-2008,Applied for renewal,19.055801,72.836932
1011,Taluk Head Quarters Hospital Blood Bank,Kerala,KOLLAM,Kottakkara,,691506,0474 2452610,9446266463,,0474 2452610,,,Dr. Sindhu,0474 2452610,9446266463,bbktra@gmail.com,Medical Officer,Government,NO,NO,24x7,145/28C/KER/DC-CLAA/04,6/3/2010,5/1/2019,9.004354,76.775632
154,West Siang District Hospital Blood Bank,Arunachal Pradesh,WEST SIANG,Aalo,"District Hospital, Medical Complex, Aalo",791001,,9436056268,N/A,N/A,yatugee@gmail.com,,Dr. Yatu Gee Kena,,9436056268,fr.ygee1998@gmail.com,"MBBS, DCP",Government,NO,NO,24 x 7,BB/DL/2011/05,9/8/2011,9/7/2016,28.169282,94.801031
10,Indian Red Cross Society Blood bank RCH -II KADIRI,Andhra Pradesh,ANANTAPUR,Kadiri,"Ground Floor, APVVP (Government General Hospital) Area Hospital, Kadiri, Ananthapur",515591,08494 221544,9989738689,NA,NA,kadiriircs@gmail.com,,Dr. G. P. Subbrayudu,NA,9989738689,kadiriircs@gmail.com,"MBBS, Diploma in Dermatology",Government,NO,NO,24x7,ATP/AP/2008/BB/G,16.07.2008,15.07.2013,14.113089,78.157366
1453,Sahada Blood Bank - Shree Swami  Samartha Vaidyakiya  Shaikshanik and Sanshodhan Sanstha,Maharashtra,NANDURBAR,Nandurbar,"C/o. 1st Floor, Shushrut Hospital, Khetiya Road, Survey , No. 67/3, Plot No. 3, Sahada, Nandurbar",425409,,9371855918,,,bb_shahada@yahoo.com,,Dr. Navinchandra  Shah,9371855918,9823065094,bb_shahada@yahoo.com,MBBS,Charity,NO,NO,24x7,NKD/53,28-02-2013,27-02-2018,21.554798,74.472874
1873,Santokba Durlabhji Medical Hopsital Blood bank,Rajasthan,JAIPUR,Jaipur,"Santokba Durlabhji Memorial Hospital cum Medical Research Institute, 5th Floor, SDMH OPD Block, Bhawani Singh Road, Bapu Nagar",302015,"0141 256 6251, 0141-5196655",9414043886,"0141 2566251, 0141 2566258",0141-5110209,dineshchaturvedi36@yahoo.in,http://sdmh.in/,Dr. G.N. Gupta,,9929607025,guptagajendra@yahoo.com,MD,Charity,YES,,24x7,raj2473,2013,2018,26.893786,75.812174
2722,Kasturba Gandhi Hospital Blood Bank,West Bengal,BARDHAMAN,Burdwan,"Chittaranjan Locovotive Works, Barddhaman Rd, Alipore",713331,"0341 252 5645, 0342 2525822","09163340505, 09830040499",,,,,Dr. Shyamal Mukherjee,9163340505,9163340505,,MBBS,Government,NO,NO,24x7,DL-100-MB/SLA/CLAA/WB,27-02-2002,31-12-2013 (R),23.849528,86.895907
2638,Tarawati Nursing Home Private Limited Blood Bank,Uttar Pradesh,SAHARANPUR,Saharanpur,Bajoria Road,247001,0132 2716003,9359202132,N/A,N/A,N/A,,Dr. Rajeev,8273013215,8273013215,,MD (Pathology),Private,NO,,12am to 7pm,UP/B&BP/2012/2013,19-03-2012,19-03-2017,29.95683,77.557192
2773,Chittaranjan National Cancer Institute Blood Bank,West Bengal,KOLKATA,Kolkata,"37, SP Mukherjee Road",700026,033 24765101,9434367371,N/A,N/A,,http://cnci.org.in/contactus.htm,Dr. G. K Mondal,9231856613,,,,Government,NO,,24x7,DL-36-MB/SLA/CLAA/WB,27-12-1996,02-06-2010 upto 01-06-2015 (L),22.526268,88.347256
2763,B.M. Birla Heart Research Centre Blood Bank,West Bengal,KOLKATA,KOLKATA,1/1 National Library Avenue,700027,"033 30403040, 033 30403112",033-30403114,3330403040,3324567000,bmbhrc.bloodbank@birlaheart.org,http://www.ckbirlahospitals.com,Dr Devashish R Desai,033-30403114,033-30403112,bmbhrc.bloodbank@birlaheart.org,M.B.B.S,Private,YES,NO,24x7,DL-63-MB/SLA/CLAA/WB,31-12-1996,31-12-2016,22.53269,88.328346
1622,District Hospital Blood Bank,Nagaland,DIMAPUR,Dimapur,"District Hospital Colony, Dimapur",797112,,9436009493,N/A,N/A,drtemsu@yahoo.com,,Dr. Temsu,,9436009493,drtemsu@yahoo.com,"MBBS, DCP",Government,YES,NO,24x7,DL/NL/02.G/B - 09-06-2014 to 31-12-2018,9/6/2014,31-12-2018,25.905078,93.731607
2237,Indian Red Cross Society Blood Bank,Telangana,ADILABAD,Nirmal,"Area Hospital, Gajulpet Road, near A1 Function Hall",504106,9440387455,8790988499,,,bloodbanknirmal@gmail.com,,Dr K.Pramod Kumar,,9951231887,bloodbanknirmal@gmail.com,,Government,YES,NO,24x7,11/AD/AP/2009/BB/G,13-08-2009,8/12/2014,19.664062,78.532011
184,Hayat Hospital Blood Bank,Assam,KAMRUP,Guwahati,"Odalbakra, Lalganesh",781034,0361-2475550/51/52/53/54,9508122223,N/A,N/A,"hayathospital@gmail.com, hhqualitycontrol@gmail.com",,Dr.Priyanka Dutta Choudhury,,9859708670,pdc.diva@gmail.com,,Private,NO,NO,24 x 7,,,,26.139171,91.746199
1809,Moga Civil Hospital Blood Bank,Punjab,MOGA,Moga,"Mina Bazar, New Town",142001,1636230540,9872990328,,,bbch.moga@hotmail.com,,Dr. Sumi Gupta,1636230540,09417427162,drsumigupta20@gmail.com,MD (Microbiology),Government,YES,NO,24x7,1707-B,2/2/2001,31-12-2017,30.811673,75.169349
532,Rajkot Voluntary Blood Bank and Research Centre,Gujarat,RAJKOT,Rajkot,"Rajkot Voluntary Blood Bank and Research Centre, , Pitroda House, Malaviya Road, Rajkot",360002,0281 2234242,"09898700101, 08460781366",,0281 24583400,"savelife@999life.org, kamlesh.dharajiya@999life.org",http://www.blood4life.org.in/,Dr. Kamlesh R. Dharajiya,9898700101,9898700101,"savelife@999life.org, kamlesh.dharajiya@999life.org",MD,Private,YES,NO,24X7,G/228,1/11/2013,31-10-2018,22.287302,70.8003
1046,K M C T Hospital Blood Bank,Kerala,KOZHIKODE,Kozhikode,,673572,"0495 2293500, 0495 2720466",,,,,,,,,,,Private,YES,NO,24x7,172/28C/KER/DC-CLAA/08,26-06-2008,24-06-2018,11.325893,75.971356
1943,CANCER INSTITUTE HOSPITAL BLOOD BANK,Tamil Nadu,CHENNAI,Adyar,"Cancer Institute (WIA) ,No.18 Sardar Patel road",600036,"044 22209150,044 24910754,044 22350241",,,044 24912085,cibloodbank3@gmail.com,http://www.cancerinstitutewia.org,Dr. Narmadha,,9840037100,drnarmadha01@gmail.com,MBBS,Charity,YES,YES,24X7,126,5/13/1997,31/12/2017,13.005335,80.239623
249,Sadar Hospital Muzaffarpur Blood Bank,Bihar,MUZAFFARPUR,Muzaffarpur,"Sutapatti, Pokhraira, Near Muzaffarpur Railway Station",842001,"0625-2266055, 0625-2266056",,,,bloodbanksadarhospitalmu21@gmail.com,,Dr.Kanhaiya Sharma,,9431638104,,MBBS,Government,NO,NO,24X7,83(N)2004,16.04.2004,A/F,0,0
447,Military Hospital Blood Bank,Gujarat,AHMEDABAD,Ahmedabad,"Military Hospital Blood Bank, 24, M. H. Complex, Ahmedabad",380003,,7567980891,,,,,Mr. Dharmesh Vishvkarma,,7567980891,,MD,Government,NO,NO,24X7,GB/138,24-05-2012,23-05-2019,0,0
1567,Vaidhya Blood Bank,Maharashtra,THANE,Thane,"1st Floor. Satyam Apartment, M.G. Road, Jeevan Jyot Hospital, Near Naupada Police Station, Thane (W)",400602,"022 25380787, 022 25411773",9892523533,,,,,Dr. Rajendra Kumar Agarwal,"022 25380787, 022 25411773",9892523533,vaidya_bloodbank@rediffmail.com,"MBBS, MD",Charity,YES,,24x7,KD/38/2006,26-09-2011,31-12-2016,19.187896,72.96724
680,District Hospital Blood Bank Ganderbal,Jammu and Kashmir,GANDERBAL,Ganderbal,Ganderbal,191201,0194 2416158,,,,,,,,,,,Government,,,,,,,34.1944531,74.652155
112,M/s. Seven Hills Hospital Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"D.No.11-4-4/A, 5th Floor, Rock Dale Layout, Waltair MainRoad, Visakhapatnam",530002,0891 6677777,9848199322,NA,0891 2565635,NA,http://www.sevenhillshospital.com,Dr. Venkatesh Giri,NA,9440401400,Venkatesh.s@sevenhillshospital.com,MD (Pathology),Private,NO,NO,24x7,07/VP/AP/2007/BB/CC,12.10.2009,11.10.2019,17.71737,83.309268
1734,Sri Guru Ram Das Institute of Medical Sciences and Research Blood bank,Punjab,AMRITSAR,Amritsar,"Mehta Road, PO Vallah",143501,0183 2870245,,,"0183-2870205, 2870344, 2870203",sgrdbloodbank@gmail.com,http://www.sgrdimsr.in/,Dr. Harjot Kaur,,09781516166,harjotbhandari@gmail.com,MD (Pathology),Charity,YES,YES,24x7,1823-B,04-12-2007,3/12/2017,31.635855,74.966905
582,M/s Sunflag Hospital and Research Centre Blood Bank,Haryana,FARIDABAD,Faridabad,"M/s Sunflag Hospital and Research Centre, Sector-16A,  Faridabad",121001,"0129 4199156, 0129 4199159",9910605254,,,sunflagbloodbank@gmail.com,,Dr. Anita Chabra,"0129 4199156, 0129 4199159",9910605254,sunflagbloodbank@gmail.com,MD (Pathology),Private,YES,YES,24X7,609-BH,30-07-2004,29-07-2019,28.40274,77.31823
2492,Modern Pathology and Blood Bank,Uttar Pradesh,GHAZIABAD,Ghaziabad,"SA-96, Shastri Nagar",201002,0120 2752570,"08750472409, 09651941352",N/A,N/A,N/A,,Dr. Swati Singh,N/A,N/A,N/A,MD (Pathology),Private,NO,NO,24x7,UP/B &BP/2009/7,20-04-2007 to 19-04-2012,20-04-2012 to 19-04-2017,0,0
467,Gandhi Lincon Hospital Blood Bank,Gujarat,Banaskantha,Banaskantha,"Bhansali Trust sanchalit Voluntary Blood Bank, Gandhi Lincon Hospital, Nr.Municipal Complex, Nr. Sardar-Baug, Deesa, , Banaskantha",385535,02744 220172,"09825067844, 09426445100",,,glh_deesa@yahoo.com drjagdish2000@yahoo.co.in,,Dr. Jagdish Soni,098250 67844,098250 67844,"glh_deesa@yahoo.com, drjagdish2000@yahoo.co.in",MBBS,Private,NO,NO,24X7,GB/11,Applied for renewal,Applied for renewal,24.256318,72.184372
1619,District Hospital Blood Bank Mamit,Mizoram,MAMIT,Mamit,"Blood Bank, District Hospital,Lungsir, Mamit",796441,0389 2565655,9862635066,N/A,0389 2565655,drzothani@gmail.com,,Dr. Zothansangi,9862635066,9862635066,drzothangi@gmail.com,"MBBS, MD",Government,NO,NO,24x7,MDCA/BB/9,9/8/2010,A/F renewal,23.909365,92.494861
819,Ocean Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"No. 133-134, K. P. Broadway Road, Shivajinagar",560051,080 25552199,9845854991,,,,,Dr. Syed Azeezuddin,080 25552199,9845854991,oceansuh36@gmail.com,Medical officer,Private,NO,NO,24x7,KTK/28C-200/ 2007,1/6/2007,11/6/2017,12.982018,77.604484
2033,Kasturba Hospital Blood Bank,Tamil Nadu,DINDIGUL,Gandhigram,Gandhigram,624302,04510 2452328,N/A,N/A,N/A,,,,,,,,Charity,NO,NO,N/A,,,,0,0
1853,Raj Blood Bank Society,Rajasthan,BHARATPUR,Bharatpur,"Mori Char Bag, Near Janana hospital",321001,"05644-221313, 05644 236800, 05644 236550","09001994820, 09414043831",,,doctor.vinod.bansal@gmail.com,,Dr. Vinod Bansal,,9414025841,doctorvinod.bansal@gmail.com,MD,Government,YES,NO,24x7,RAJ2006,2011,31-12-2016,0,0
609,"National Blood Bank, Kharab Hospital Blood Bank",Haryana,HISAR,Hisar,"47, Near Budhla Sant Mandir, Rishi nagar,",125008,01662 225900,,,,mk885200@gmail.com,,Dr. Bimal Roy Narang,01662 225900,9896013027,nationalbloodbankhsr@gmail.com,MD (Pathology),Private,YES,NO,24X7,669,10/2/2014,9/2/2019,29.310977,76.344908
992,Kannur Medical college and Hospital (Prestige educational Trust) Blood Bank,Kerala,KANNUR,Anjarakandy,Chovva Mathanur Road,670612,0497 2855001,9744880098,,,,,,,,,,Private,YES,NO,24x7,159/28C/KER/DC-CLAA/06,3/4/2006,2/3/2016,11.875772,75.499253
2092,Vadamalayan Hospital Blood Bank,Tamil Nadu,MADURAI,Madurai,"Vadamalayan Hospital, No.9B, PT Rajan Road, Chokkikulam, Reserve Police Line",625002,0452 2545400,,,N/A,bloodbank@vadamalayan.org,http://www.vadamalayan.org,Dr. Padmini,N/A,9344156746,drkp21@gmail.com,"MBBS, MD(Micro)",Private,YES,NO,24x7,260/28c,5/7/2015,5/7/2015,9.942846,78.130616
